Features:; Ratha1995MinutiaeExtractor_Ratha1995SkeImgExtractor.jy
Average match time(ms):; 2,73125
EER(%):; 31,984
FMR100(%):; 58,571
FMR1000(%):; 76,071
ZeroFmr(%):; 76,071
Matcher:;JY
FMR;FNMR;Threshold
0,0000;0,7607;39,1506
0,0028;0,7607;39,1315
0,0028;0,6857;32,7074
0,0056;0,6857;32,5395
0,0056;0,6000;27,0716
0,0083;0,6000;26,9133
0,0083;0,5857;26,3146
0,0139;0,5857;26,2760
0,0139;0,5679;24,3594
0,0194;0,5679;24,3214
0,0194;0,5607;24,1557
0,0250;0,5607;23,6668
0,0250;0,5500;23,4995
0,0278;0,5500;23,4228
0,0278;0,5464;23,3429
0,0306;0,5464;23,2416
0,0306;0,5357;22,8592
0,0333;0,5357;22,8114
0,0333;0,5250;22,6919
0,0472;0,5250;22,0976
0,0472;0,5214;21,6206
0,0583;0,5214;21,3312
0,0583;0,5107;20,4641
0,0611;0,5107;20,1498
0,0611;0,5071;20,1368
0,0639;0,5071;20,0077
0,0639;0,4964;19,7837
0,0694;0,4964;19,5066
0,0694;0,4893;19,4446
0,0861;0,4893;19,0344
0,0861;0,4786;18,8815
0,0889;0,4786;18,8586
0,0889;0,4750;18,5908
0,0944;0,4750;18,3030
0,0944;0,4643;18,0372
0,1139;0,4643;17,5458
0,1139;0,4607;17,4937
0,1167;0,4607;17,4663
0,1167;0,4536;17,2704
0,1194;0,4536;17,2254
0,1194;0,4464;17,0972
0,1222;0,4464;17,0859
0,1222;0,4429;17,0771
0,1250;0,4429;16,9464
0,1250;0,4321;16,6353
0,1389;0,4321;16,4056
0,1389;0,4286;16,3475
0,1417;0,4286;16,2609
0,1417;0,4214;16,1070
0,1472;0,4214;16,0595
0,1472;0,4179;15,9300
0,1944;0,4179;14,4778
0,1944;0,4071;14,3010
0,2000;0,4071;14,2199
0,2000;0,4000;14,0876
0,2028;0,4000;13,9644
0,2028;0,3964;13,8457
0,2111;0,3964;13,7854
0,2111;0,3893;13,7049
0,2222;0,3893;13,6261
0,2222;0,3821;13,3826
0,2306;0,3821;13,2958
0,2306;0,3786;13,2768
0,2389;0,3786;13,2188
0,2389;0,3714;13,0549
0,2417;0,3714;13,0429
0,2417;0,3643;13,0007
0,2611;0,3643;12,6937
0,2611;0,3607;12,5434
0,2667;0,3607;12,2767
0,2667;0,3571;12,2406
0,2722;0,3571;12,1644
0,2722;0,3464;12,0771
0,2889;0,3464;11,5418
0,2889;0,3429;11,4826
0,2972;0,3429;11,3251
0,2972;0,3393;11,3007
0,3000;0,3393;11,1828
0,3000;0,3357;11,1660
0,3028;0,3357;11,1658
0,3028;0,3321;11,0102
0,3111;0,3321;10,7929
0,3111;0,3286;10,7200
0,3333;0,3286;10,4799
0,3333;0,3179;10,3397
0,3389;0,3179;10,2483
0,3389;0,3143;10,1839
0,3472;0,3143;9,7777
0,3472;0,3107;9,7746
0,3500;0,3107;9,6911
0,3500;0,3036;9,3989
0,3528;0,3036;9,3041
0,3528;0,3000;9,2223
0,3611;0,3000;9,1736
0,3611;0,2964;9,1289
0,3667;0,2964;9,0725
0,3667;0,2929;9,0279
0,3694;0,2929;8,9198
0,3694;0,2893;8,8906
0,3722;0,2893;8,8632
0,3722;0,2786;8,7216
0,3778;0,2786;8,5908
0,3778;0,2679;8,0210
1,0000;0,2679;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
