Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.tk
Average match time(ms):; 4,77500
EER(%):; 17,817
FMR100(%):; 55,714
FMR1000(%):; 80,714
ZeroFmr(%):; 80,714
Matcher:;MTK
FMR;FNMR;Threshold
0,0000;0,8071;0,0240
0,0028;0,8071;0,0240
0,0028;0,7036;0,0180
0,0056;0,7036;0,0180
0,0056;0,6893;0,0178
0,0083;0,6893;0,0177
0,0083;0,5571;0,0124
0,0111;0,5571;0,0123
0,0111;0,4643;0,0088
0,0139;0,4643;0,0088
0,0139;0,4571;0,0087
0,0167;0,4571;0,0087
0,0167;0,4321;0,0084
0,0194;0,4321;0,0084
0,0194;0,4214;0,0082
0,0222;0,4214;0,0081
0,0222;0,3929;0,0069
0,0278;0,3929;0,0068
0,0278;0,3786;0,0063
0,0306;0,3786;0,0061
0,0306;0,3643;0,0059
0,0361;0,3643;0,0059
0,0361;0,3571;0,0057
0,0417;0,3571;0,0056
0,0417;0,3536;0,0056
0,0444;0,3536;0,0056
0,0444;0,3500;0,0056
0,0472;0,3500;0,0056
0,0472;0,3429;0,0055
0,0500;0,3429;0,0055
0,0500;0,3286;0,0053
0,0556;0,3286;0,0052
0,0556;0,3214;0,0050
0,0639;0,3214;0,0049
0,0639;0,3107;0,0048
0,0667;0,3107;0,0048
0,0667;0,3036;0,0045
0,0722;0,3036;0,0045
0,0722;0,2929;0,0044
0,0778;0,2929;0,0041
0,0778;0,2821;0,0038
0,0806;0,2821;0,0038
0,0806;0,2786;0,0037
0,0861;0,2786;0,0037
0,0861;0,2750;0,0037
0,0917;0,2750;0,0036
0,0917;0,2714;0,0036
0,0944;0,2714;0,0036
0,0944;0,2679;0,0035
0,1056;0,2679;0,0035
0,1056;0,2643;0,0034
0,1111;0,2643;0,0034
0,1111;0,2607;0,0034
0,1194;0,2607;0,0033
0,1194;0,2464;0,0032
0,1222;0,2464;0,0032
0,1222;0,2393;0,0032
0,1250;0,2393;0,0032
0,1250;0,2321;0,0031
0,1278;0,2321;0,0031
0,1278;0,2286;0,0031
0,1306;0,2286;0,0031
0,1306;0,2214;0,0031
0,1333;0,2214;0,0031
0,1333;0,2071;0,0030
0,1361;0,2071;0,0030
0,1361;0,2036;0,0030
0,1528;0,2036;0,0029
0,1528;0,1964;0,0029
0,1556;0,1964;0,0029
0,1556;0,1929;0,0029
0,1639;0,1929;0,0029
0,1639;0,1857;0,0028
0,1750;0,1857;0,0027
0,1750;0,1821;0,0027
0,1778;0,1821;0,0026
0,1778;0,1786;0,0026
0,1889;0,1786;0,0026
0,1889;0,1750;0,0026
0,1917;0,1750;0,0026
0,1917;0,1714;0,0025
0,2083;0,1714;0,0024
0,2083;0,1679;0,0024
0,2139;0,1679;0,0024
0,2139;0,1643;0,0024
0,2250;0,1643;0,0023
0,2250;0,1571;0,0023
0,2361;0,1571;0,0022
0,2361;0,1536;0,0022
0,2444;0,1536;0,0021
0,2444;0,1464;0,0021
0,2556;0,1464;0,0020
0,2556;0,1429;0,0020
0,2861;0,1429;0,0019
0,2861;0,1393;0,0019
0,2917;0,1393;0,0019
0,2917;0,1357;0,0019
0,3000;0,1357;0,0018
0,3000;0,1250;0,0018
0,3139;0,1250;0,0017
0,3139;0,1214;0,0017
0,3167;0,1214;0,0017
0,3167;0,1179;0,0017
0,3194;0,1179;0,0017
0,3194;0,1143;0,0016
0,3278;0,1143;0,0016
0,3278;0,1107;0,0015
0,3306;0,1107;0,0015
0,3306;0,1071;0,0015
0,3556;0,1071;0,0015
0,3556;0,1036;0,0015
0,3611;0,1036;0,0015
0,3611;0,1000;0,0014
0,3806;0,1000;0,0014
0,3806;0,0964;0,0014
0,3972;0,0964;0,0014
0,3972;0,0929;0,0014
0,4000;0,0929;0,0014
0,4000;0,0893;0,0014
0,4139;0,0893;0,0013
0,4139;0,0857;0,0013
0,4194;0,0857;0,0013
0,4194;0,0821;0,0013
0,4750;0,0821;0,0012
0,4750;0,0786;0,0012
0,5111;0,0786;0,0011
0,5111;0,0750;0,0011
0,5250;0,0750;0,0011
0,5250;0,0714;0,0011
0,5333;0,0714;0,0011
0,5333;0,0679;0,0011
0,5389;0,0679;0,0010
0,5389;0,0643;0,0010
0,6000;0,0643;0,0009
0,6000;0,0607;0,0009
0,6028;0,0607;0,0009
0,6028;0,0571;0,0009
0,6278;0,0571;0,0008
0,6278;0,0536;0,0008
0,6444;0,0536;0,0008
0,6444;0,0500;0,0008
0,6500;0,0500;0,0008
0,6500;0,0464;0,0008
0,6583;0,0464;0,0008
0,6583;0,0429;0,0008
0,7139;0,0429;0,0007
0,7139;0,0393;0,0007
0,7472;0,0393;0,0006
0,7472;0,0357;0,0006
0,7972;0,0357;0,0005
0,7972;0,0321;0,0005
0,8278;0,0321;0,0005
0,8278;0,0286;0,0005
0,8306;0,0286;0,0005
0,8306;0,0250;0,0004
0,8333;0,0250;0,0004
0,8333;0,0214;0,0004
0,8389;0,0214;0,0004
0,8389;0,0179;0,0004
0,8694;0,0179;0,0004
0,8694;0,0143;0,0004
0,9000;0,0143;0,0003
0,9000;0,0107;0,0003
0,9028;0,0107;0,0003
0,9028;0,0071;0,0003
0,9500;0,0071;0,0002
0,9500;0,0036;0,0002
1,0000;0,0036;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
