Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.qyw
Average match time(ms):; 9,68438
EER(%):; 30,536
FMR100(%):; 63,214
FMR1000(%):; 80,000
ZeroFmr(%):; 80,000
Matcher:;QYW
FMR;FNMR;Threshold
0,0000;0,8000;0,5346
0,0028;0,8000;0,5345
0,0028;0,7107;0,4584
0,0056;0,7107;0,4580
0,0056;0,6393;0,4367
0,0083;0,6393;0,4356
0,0083;0,6321;0,4345
0,0111;0,6321;0,4332
0,0111;0,6107;0,4264
0,0167;0,6107;0,4202
0,0167;0,5964;0,4136
0,0194;0,5964;0,4109
0,0194;0,5821;0,4064
0,0306;0,5821;0,3970
0,0306;0,5750;0,3965
0,0333;0,5750;0,3958
0,0333;0,5714;0,3912
0,0389;0,5714;0,3888
0,0389;0,5607;0,3855
0,0417;0,5607;0,3855
0,0417;0,5536;0,3835
0,0444;0,5536;0,3829
0,0444;0,5429;0,3783
0,0556;0,5429;0,3764
0,0556;0,5357;0,3721
0,0611;0,5357;0,3720
0,0611;0,5286;0,3716
0,0694;0,5286;0,3700
0,0694;0,5250;0,3693
0,0778;0,5250;0,3679
0,0778;0,5214;0,3674
0,0833;0,5214;0,3645
0,0833;0,5179;0,3604
0,0861;0,5179;0,3604
0,0861;0,5143;0,3599
0,0889;0,5143;0,3599
0,0889;0,5071;0,3580
0,0917;0,5071;0,3575
0,0917;0,4964;0,3561
0,0944;0,4964;0,3555
0,0944;0,4857;0,3517
0,0972;0,4857;0,3516
0,0972;0,4821;0,3503
0,1000;0,4821;0,3496
0,1000;0,4786;0,3495
0,1028;0,4786;0,3466
0,1028;0,4750;0,3453
0,1056;0,4750;0,3436
0,1056;0,4714;0,3433
0,1083;0,4714;0,3429
0,1083;0,4571;0,3380
0,1111;0,4571;0,3378
0,1111;0,4500;0,3367
0,1194;0,4500;0,3313
0,1194;0,4464;0,3313
0,1222;0,4464;0,3309
0,1222;0,4393;0,3307
0,1278;0,4393;0,3305
0,1278;0,4321;0,3302
0,1333;0,4321;0,3301
0,1333;0,4250;0,3298
0,1361;0,4250;0,3297
0,1361;0,4214;0,3296
0,1472;0,4214;0,3288
0,1472;0,4143;0,3238
0,1500;0,4143;0,3238
0,1500;0,4071;0,3229
0,1556;0,4071;0,3221
0,1556;0,4036;0,3216
0,1611;0,4036;0,3208
0,1611;0,3964;0,3184
0,1694;0,3964;0,3167
0,1694;0,3893;0,3133
0,1778;0,3893;0,3108
0,1778;0,3857;0,3106
0,1861;0,3857;0,3071
0,1861;0,3786;0,3067
0,1889;0,3786;0,3066
0,1889;0,3750;0,3065
0,2000;0,3750;0,3049
0,2000;0,3714;0,3047
0,2028;0,3714;0,3047
0,2028;0,3679;0,3046
0,2083;0,3679;0,3028
0,2083;0,3643;0,3023
0,2139;0,3643;0,3006
0,2139;0,3536;0,2979
0,2167;0,3536;0,2977
0,2167;0,3500;0,2976
0,2306;0,3500;0,2948
0,2306;0,3464;0,2937
0,2361;0,3464;0,2925
