EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;beta;alfa;;;;;;;;;;;
8,0556;0;0,161111111;20;10;10;0,4;60;16;;;;;;;;;;;
8,3333;0;0,166666667;20;10;10;0,4;30;16;;;;;;;;;;;
8,3333;0;0,166666667;30;10;40;0,4;30;16;;;EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;beta;alfa
9,0278;0;0,180555556;20;10;10;0,4;60;12;;FMR = 0;8,0556;0;0,161111111;20;10;10;0,4;60;16
9,0278;0;0,180555556;30;10;40;0,2;60;16;;FMR > 0;5,5556;0,002777778;0,108333333;20;10;40;0,2;30;16
9,1667;0;0,183333333;20;10;10;0,2;60;16;;;;;;;;;;;
9,1667;0;0,183333333;30;10;40;0,2;30;16;;Matches;total;103680;;;;;;;
9,1667;0;0,183333333;30;10;40;0,4;30;12;;6208;;;;;;;;;
9,3056;0;0,186111111;20;10;10;0,2;30;16;;;;;;;;;;;
9,3056;0;0,186111111;20;10;10;0,4;30;12;;average match;0,059876543;;;;;;;;
10,2778;0;0,205555556;20;10;10;0,2;60;12;;;;;;;;;;;
10,2778;0;0,205555556;30;10;40;0,2;60;12;;;;;;;;;;;
10,4167;0;0,208333333;20;10;10;0,2;30;12;;;;;;;;;;;
10,4167;0;0,208333333;30;10;40;0,2;30;12;;;;;;;;;;;
11,5278;0;0,230555556;30;10;40;0,4;60;8;;;;;;;;;;;
11,8056;0;0,236111111;20;10;10;0,4;60;8;;;;;;;;;;;
12,6389;0;0,252777778;20;10;10;0,4;30;8;;;;;;;;;;;
12,6389;0;0,252777778;30;10;40;0,4;30;8;;;;;;;;;;;
12,7778;0;0,255555556;10;4;40;0,4;60;8;;;;;;;;;;;
13,3333;0;0,266666667;10;4;10;0,4;60;16;;;;;;;;;;;
13,4722;0;0,269444444;10;4;40;0,4;30;8;;;;;;;;;;;
13,4722;0;0,269444444;20;10;10;0,2;60;8;;;;;;;;;;;
13,4722;0;0,269444444;30;10;40;0,2;60;8;;;;;;;;;;;
13,6111;0;0,272222222;10;4;10;0,4;30;16;;;;;;;;;;;
13,6111;0;0,272222222;20;10;10;0,2;30;8;;;;;;;;;;;
13,75;0;0,275;30;10;40;0,2;30;8;;;;;;;;;;;
14,1667;0;0,283333333;10;4;10;0,2;30;16;;;;;;;;;;;
14,1667;0;0,283333333;10;4;10;0,4;30;12;;;;;;;;;;;
14,1667;0;0,283333333;10;4;10;0,4;60;12;;;;;;;;;;;
14,3056;0;0,286111111;10;4;10;0,2;60;16;;;;;;;;;;;
14,7222;0;0,294444444;10;4;40;0,2;60;8;;;;;;;;;;;
14,8611;0;0,297222222;10;4;10;0,2;30;12;;;;;;;;;;;
14,8611;0;0,297222222;10;4;40;0,2;30;8;;;;;;;;;;;
15;0;0,3;10;4;10;0,2;60;12;;;;;;;;;;;
15,1389;0;0,302777778;30;10;10;0,4;60;16;;;;;;;;;;;
15,6944;0;0,313888889;30;10;10;0,4;30;16;;;;;;;;;;;
15,8333;0;0,316666667;30;10;10;0,4;60;12;;;;;;;;;;;
