GDTHR;EER;FMR;FNMR
TRESHOLD;21;GlobAngThr;30
0;38,8889;0;0,777777778
1;35,5556;0;0,711111111
2;24,1667;0,002777778;0,480555556
3;16,9444;0,002777778;0,336111111
4;14,7222;0,011111111;0,283333333
5;13,3333;0,027777778;0,238888889
6;13,0556;0,044444444;0,216666667
7;13,3333;0,063888889;0,202777778
8;12,5;0,069444444;0,180555556
9;13,75;0,097222222;0,177777778
10;14,4444;0,113888889;0,175
11;14,8611;0,130555556;0,166666667
12;15,6944;0,15;0,163888889
13;15,8333;0,161111111;0,155555556
14;16,6667;0,177777778;0,155555556
15;16,5278;0,177777778;0,152777778
16;16,6667;0,186111111;0,147222222
17;17,0833;0,2;0,141666667
18;17,7778;0,216666667;0,138888889
19;18,3333;0,230555556;0,136111111
