GATHR;EER;FMR;FNMR
TRESHOLD;21;;
0;38,8889;0;0,777777778
3;38,4722;0;0,769444444
6;30,6944;0;0,613888889
9;23,0556;0;0,461111111
12;17,7778;0,002777778;0,352777778
15;15,6944;0,002777778;0,311111111
18;14,3056;0,011111111;0,275
21;13,6111;0,019444444;0,252777778
24;13,0556;0,044444444;0,216666667
27;12,6389;0,052777778;0,2
30;12,5;0,069444444;0,180555556
33;13,75;0,102777778;0,172222222
36;14,4444;0,125;0,163888889
39;15,9722;0,172222222;0,147222222
42;17,2222;0,2;0,144444444
45;18,3333;0,233333333;0,133333333
48;20,6944;0,288888889;0,125
51;22,5;0,325;0,125
54;23,3333;0,358333333;0,108333333
57;24,1667;0,388888889;0,094444444
60;25,6944;0,422222222;0,091666667
63;27,2222;0,466666667;0,077777778
66;29,8611;0,513888889;0,083333333
69;30,8333;0,538888889;0,077777778
72;32,2222;0,569444444;0,075
75;33,75;0,602777778;0,072222222
78;35,4167;0,641666667;0,066666667
81;35,5556;0,658333333;0,052777778
84;36,25;0,677777778;0,047222222
87;37,3611;0,705555556;0,041666667
