EER;FMR;FNMR;THR;GDTHR;GAngTHRLDTHR;LAngTHR;;;;;;;;;;;;
5,6944;0;0,113888889;30;12;50;12;30;;;;;;;;;;;
6,25;0;0,125;30;12;30;12;30;;;;;;;;;;;
6,25;0;0,125;30;12;50;8;30;;;;EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;LAngTHR
6,6667;0;0,133333333;30;12;30;8;30;;;FMR = 0;5,6944;0;0,113888889;30;12;50;12;30
8,6111;0;0,172222222;10;8;10;4;30;;;FMR > 0;6,25;0,002777778;0,122222222;30;12;30;12;50
9,8611;0;0,197222222;30;12;50;4;50;;;;;;;;;;;
10;0;0,2;30;8;50;12;50;;;Matches;total;174960;;;;;;
10,2778;0;0,205555556;30;8;50;12;30;;;828;;;;;;;;
10,4167;0;0,208333333;30;12;30;4;50;;;;;;;;;;;
10,4167;0;0,208333333;30;8;50;8;50;;;average match;0,00473251;;;;;;;
10,5556;0;0,211111111;30;8;30;12;50;;;;;;;;;;;
10,6944;0;0,213888889;30;8;50;8;30;;;;;;;;;;;
10,8333;0;0,216666667;30;8;30;12;30;;;;;;;;;;;
10,9722;0;0,219444444;30;8;30;8;50;;;;;;;;;;;
10,9722;0;0,219444444;30;12;50;4;30;;;;;;;;;;;
11,1111;0;0,222222222;30;8;30;8;30;;;;;;;;;;;
11,3889;0;0,227777778;30;12;30;4;30;;;;;;;;;;;
11,5278;0;0,230555556;30;12;10;12;50;;;;;;;;;;;
11,9444;0;0,238888889;10;4;10;12;30;;;;;;;;;;;
11,9444;0;0,238888889;30;12;10;12;30;;;;;;;;;;;
12,0833;0;0,241666667;10;4;10;12;50;;;;;;;;;;;
12,2222;0;0,244444444;10;4;10;8;50;;;;;;;;;;;
12,3611;0;0,247222222;10;4;10;8;30;;;;;;;;;;;
12,3611;0;0,247222222;30;12;10;8;50;;;;;;;;;;;
12,5;0;0,25;30;12;10;8;30;;;;;;;;;;;
13,0556;0;0,261111111;10;8;50;8;10;;;;;;;;;;;
13,1944;0;0,263888889;10;8;30;8;10;;;;;;;;;;;
13,1944;0;0,263888889;10;4;50;4;50;;;;;;;;;;;
13,4722;0;0,269444444;10;4;50;4;30;;;;;;;;;;;
13,6111;0;0,272222222;10;8;10;12;10;;;;;;;;;;;
13,6111;0;0,272222222;10;4;30;4;50;;;;;;;;;;;
14,0278;0;0,280555556;10;4;30;4;30;;;;;;;;;;;
14,3056;0;0,286111111;10;8;10;8;10;;;;;;;;;;;
15;0;0,3;30;12;50;12;10;;;;;;;;;;;
15,6944;0;0,313888889;30;12;30;12;10;;;;;;;;;;;
15,6944;0;0,313888889;30;12;50;8;10;;;;;;;;;;;
16,1111;0;0,322222222;30;12;30;8;10;;;;;;;;;;;
16,1111;0;0,322222222;30;8;50;4;50;;;;;;;;;;;
16,3889;0;0,327777778;10;12;10;4;10;;;;;;;;;;;
