EER;FMR;FNMR;THR;GDTHRGAngTHR;;;;;;;;;
24,5833;0,1;0,391666667;30;6;60;;;;;;;;
23,4722;0,122222222;0,347222222;20;10;30;;;;;;;;
24,3056;0,136111111;0,35;30;10;50;;;;;;;;
24,0278;0,138888889;0,341666667;20;6;40;;;;;;;;
24,7222;0,144444444;0,35;20;4;50;;;;;;;;
23,75;0,15;0,325;10;8;20;;;;;;;;
24,7222;0,177777778;0,316666667;10;4;30;;;;;;;;
25,2778;0,177777778;0,327777778;30;8;60;;;;;;;;
24,7222;0,191666667;0,302777778;10;10;20;;;;;;;;
25,8333;0,216666667;0,3;20;8;40;;;;;;;;
25,9722;0,225;0,294444444;30;10;60;;;;;;;;
26,3889;0,25;0,277777778;20;4;60;;;;;;;;
27,0833;0,283333333;0,258333333;20;6;50;;;;;;;;
28,1944;0,288888889;0,275;20;10;40;;;;;;;;
27,9167;0,325;0,233333333;10;6;30;;;;;;;;
28,75;0,361111111;0,213888889;10;4;40;;;;;;;;
29,7222;0,369444444;0,225;20;8;50;;;;;;;;
30;0,388888889;0,211111111;20;6;60;;;;;;;;
30,8333;0,413888889;0,202777778;10;8;30;;;;;;;;
32,6389;0,45;0,202777778;20;10;50;;;;;;;;
31,3889;0,452777778;0,175;10;10;30;;;;;;;;
33,1944;0,486111111;0,177777778;20;8;60;;;;;;;;
32,6389;0,505555556;0,147222222;10;4;50;;;;;;;;
33,8889;0,516666667;0,161111111;10;6;40;;;;;;;;
34,8611;0,566666667;0,130555556;20;10;60;;;;;;;;
37,7778;0,616666667;0,138888889;10;8;40;;;;;;;;
36,5278;0,622222222;0,108333333;10;4;60;;;;;;;;
38,4722;0,655555556;0,113888889;10;6;50;;;;;;;;
38,8889;0,663888889;0,113888889;10;10;40;;;;;;;;
40,6944;0,722222222;0,091666667;10;8;50;;;;;;;;
40,1389;0,733333333;0,069444444;10;6;60;;;;;;;;
42,2222;0,769444444;0,075;10;10;50;;;;;;;;
43,4722;0,816666667;0,052777778;10;8;60;;;;;;;;
44,0278;0,847222222;0,033333333;10;10;60;;;;;;;;
Matches;total;103680;;;;;;;;;;;
402;;;;;;;;;;;;;
