TRESHOLD;EER;FMR;FNMR
0;50;1;0
3;32,6389;0,488888889;0,163888889
6;32,3611;0,483333333;0,163888889
9;31,25;0,433333333;0,191666667
12;28,1944;0,333333333;0,230555556
15;26,3889;0,208333333;0,319444444
18;22,7778;0,116666667;0,338888889
21;22,6389;0,063888889;0,388888889
24;23,0556;0,030555556;0,430555556
27;24,0278;0,016666667;0,463888889
30;24,5833;0,005555556;0,486111111
33;26,3889;0,005555556;0,522222222
36;28,0556;0,002777778;0,558333333
