EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;LAngTHR;MtiaCount;;;;;;;;;;;
4,0278;0;0,080555556;0,02;12;30;12;30;4;;;;;;;;;;;
5,1389;0;0,102777778;0,02;12;30;8;30;4;;;EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;LAngTHR;MtiaCount
5,1389;0;0,102777778;0,02;12;50;8;30;4;;Maþiausias EER (FMR = 0);4,0278;0;0,080555556;0,02;12;30;12;30;4
6,5278;0;0,130555556;0,03;12;50;12;30;4;;Maþiausias EER (FMR - bet koks);4,1667;0,002777778;0,080555556;0,02;12;50;12;30;4
6,6667;0;0,133333333;0,03;12;30;12;30;4;;;;;;;;;;;
6,6667;0;0,133333333;0,03;12;50;12;30;8;;Matches;total;524880;;;;;;;
6,8056;0;0,136111111;0,03;12;30;12;30;8;;total;time;924;;;;;;;
7,2222;0;0,144444444;0,02;8;50;8;50;4;;;;;;;;;;;
7,5;0;0,15;0,02;8;50;12;50;4;;avg time =;0,001760402;;;;;;;;
7,6389;0;0,152777778;0,02;12;50;12;50;12;;;;;;;;;;;
7,7778;0;0,155555556;0,02;8;30;8;50;4;;;;;;;;;;;
7,7778;0;0,155555556;0,02;12;30;12;50;12;;;;;;;;;;;
7,9167;0;0,158333333;0,02;8;50;12;30;4;;;;;;;;;;;
8,0556;0;0,161111111;0,02;8;30;12;30;4;;;;;;;;;;;
8,0556;0;0,161111111;0,02;8;30;12;50;4;;;;;;;;;;;
8,0556;0;0,161111111;0,04;12;50;12;50;8;;;;;;;;;;;
8,1944;0;0,163888889;0,03;12;50;12;50;12;;;;;;;;;;;
8,1944;0;0,163888889;0,04;12;50;12;50;4;;;;;;;;;;;
8,3333;0;0,166666667;0,03;12;30;12;50;12;;;;;;;;;;;
8,4722;0;0,169444444;0,02;12;50;8;50;12;;;;;;;;;;;
8,6111;0;0,172222222;0,04;12;30;12;50;8;;;;;;;;;;;
8,75;0;0,175;0,03;12;50;8;30;4;;;;;;;;;;;
8,75;0;0,175;0,04;12;30;12;50;4;;;;;;;;;;;
9,0278;0;0,180555556;0,02;12;30;12;30;12;;;;;;;;;;;
9,0278;0;0,180555556;0,02;12;50;12;30;12;;;;;;;;;;;
9,0278;0;0,180555556;0,03;12;30;8;30;4;;;;;;;;;;;
9,1667;0;0,183333333;0,02;12;10;8;50;4;;;;;;;;;;;
9,1667;0;0,183333333;0,02;12;30;8;50;12;;;;;;;;;;;
9,1667;0;0,183333333;0,03;12;50;12;30;12;;;;;;;;;;;
9,3056;0;0,186111111;0,03;12;30;12;30;12;;;;;;;;;;;
9,3056;0;0,186111111;0,03;12;50;8;30;8;;;;;;;;;;;
9,4444;0;0,188888889;0,02;8;50;8;50;8;;;;;;;;;;;
9,4444;0;0,188888889;0,02;8;50;12;50;8;;;;;;;;;;;
9,4444;0;0,188888889;0,03;12;30;8;30;8;;;;;;;;;;;
9,4444;0;0,188888889;0,03;12;50;8;50;12;;;;;;;;;;;
9,4444;0;0,188888889;0,04;12;50;12;30;4;;;;;;;;;;;
9,4444;0;0,188888889;0,04;12;50;12;30;8;;;;;;;;;;;
9,5833;0;0,191666667;0,02;12;10;12;30;4;;;;;;;;;;;
9,5833;0;0,191666667;0,02;8;50;8;30;4;;;;;;;;;;;
9,5833;0;0,191666667;0,04;12;30;12;30;4;;;;;;;;;;;
9,5833;0;0,191666667;0,04;12;30;12;30;8;;;;;;;;;;;
9,7222;0;0,194444444;0,02;8;30;8;50;8;;;;;;;;;;;
9,7222;0;0,194444444;0,02;8;30;12;30;8;;;;;;;;;;;
9,7222;0;0,194444444;0,02;8;30;12;50;8;;;;;;;;;;;
9,7222;0;0,194444444;0,02;8;50;12;30;8;;;;;;;;;;;
9,7222;0;0,194444444;0,04;12;50;8;50;4;;;;;;;;;;;
9,7222;0;0,194444444;0,04;12;50;8;50;8;;;;;;;;;;;
9,8611;0;0,197222222;0,02;8;30;8;30;4;;;;;;;;;;;
9,8611;0;0,197222222;0,03;12;30;8;50;12;;;;;;;;;;;
10;0;0,2;0,02;12;10;12;50;8;;;;;;;;;;;
10,1389;0;0,202777778;0,04;12;30;8;50;4;;;;;;;;;;;
10,1389;0;0,202777778;0,04;12;30;8;50;8;;;;;;;;;;;
10,4167;0;0,208333333;0,04;12;50;12;50;12;;;;;;;;;;;
10,5556;0;0,211111111;0,02;12;10;8;30;4;;;;;;;;;;;
10,6944;0;0,213888889;0,02;12;10;12;30;8;;;;;;;;;;;
10,6944;0;0,213888889;0,04;12;30;12;50;12;;;;;;;;;;;
11,1111;0;0,222222222;0,02;12;30;8;30;12;;;;;;;;;;;
11,1111;0;0,222222222;0,02;12;50;8;30;12;;;;;;;;;;;
11,25;0;0,225;0,02;12;10;8;50;8;;;;;;;;;;;
11,25;0;0,225;0,02;8;50;8;30;8;;;;;;;;;;;
11,3889;0;0,227777778;0,02;8;30;8;30;8;;;;;;;;;;;
11,5278;0;0,230555556;0,04;12;30;12;30;12;;;;;;;;;;;
11,5278;0;0,230555556;0,04;12;50;12;30;12;;;;;;;;;;;
11,6667;0;0,233333333;0,04;12;50;8;50;12;;;;;;;;;;;
11,8056;0;0,236111111;0,02;12;30;4;50;4;;;;;;;;;;;
11,8056;0;0,236111111;0,04;12;50;8;30;4;;;;;;;;;;;
11,9444;0;0,238888889;0,04;12;30;8;30;4;;;;;;;;;;;
11,9444;0;0,238888889;0,04;12;50;8;30;8;;;;;;;;;;;
12,0833;0;0,241666667;0,03;8;30;12;50;4;;;;;;;;;;;
12,0833;0;0,241666667;0,03;8;50;12;50;4;;;;;;;;;;;
12,0833;0;0,241666667;0,04;12;30;8;30;8;;;;;;;;;;;
12,0833;0;0,241666667;0,04;12;30;8;50;12;;;;;;;;;;;
12,2222;0;0,244444444;0,03;8;50;12;50;8;;;;;;;;;;;
12,2222;0;0,244444444;0,03;12;50;8;30;12;;;;;;;;;;;
12,3611;0;0,247222222;0,03;8;30;12;50;8;;;;;;;;;;;
12,3611;0;0,247222222;0,03;12;30;8;30;12;;;;;;;;;;;
12,5;0;0,25;0,02;12;10;8;30;8;;;;;;;;;;;
12,9167;0;0,258333333;0,03;12;10;12;50;4;;;;;;;;;;;
12,9167;0;0,258333333;0,03;8;50;8;50;4;;;;;;;;;;;
13,0556;0;0,261111111;0,03;12;10;12;50;8;;;;;;;;;;;
13,0556;0;0,261111111;0,03;8;50;12;30;4;;;;;;;;;;;
13,1944;0;0,263888889;0,03;8;30;8;50;4;;;;;;;;;;;
13,1944;0;0,263888889;0,03;8;30;12;30;4;;;;;;;;;;;
13,1944;0;0,263888889;0,03;8;50;12;30;8;;;;;;;;;;;
13,3333;0;0,266666667;0,03;8;30;12;30;8;;;;;;;;;;;
13,3333;0;0,266666667;0,03;8;50;8;50;8;;;;;;;;;;;
13,4722;0;0,269444444;0,03;8;30;8;50;8;;;;;;;;;;;
13,75;0;0,275;0,02;12;30;4;50;8;;;;;;;;;;;
13,8889;0;0,277777778;0,02;8;10;12;30;4;;;;;;;;;;;
13,8889;0;0,277777778;0,03;12;10;12;30;4;;;;;;;;;;;
13,8889;0;0,277777778;0,04;12;50;8;30;12;;;;;;;;;;;
14,0278;0;0,280555556;0,03;12;10;12;30;8;;;;;;;;;;;
14,0278;0;0,280555556;0,04;12;30;8;30;12;;;;;;;;;;;
14,3056;0;0,286111111;0,02;8;10;12;50;4;;;;;;;;;;;
14,5833;0;0,291666667;0,03;12;10;8;50;4;;;;;;;;;;;
14,8611;0;0,297222222;0,02;8;50;12;50;12;;;;;;;;;;;
14,8611;0;0,297222222;0,03;8;30;8;30;4;;;;;;;;;;;
14,8611;0;0,297222222;0,03;8;50;8;30;4;;;;;;;;;;;
15;0;0,3;0,02;8;10;8;50;4;;;;;;;;;;;
15;0;0,3;0,02;8;30;12;50;12;;;;;;;;;;;
15;0;0,3;0,03;12;10;8;50;8;;;;;;;;;;;
15;0;0,3;0,03;8;30;8;30;8;;;;;;;;;;;
15;0;0,3;0,03;8;50;8;30;8;;;;;;;;;;;
15,1389;0;0,302777778;0,02;8;50;8;50;12;;;;;;;;;;;
15,4167;0;0,308333333;0,02;8;50;12;30;12;;;;;;;;;;;
15,5556;0;0,311111111;0,02;8;30;12;30;12;;;;;;;;;;;
15,8333;0;0,316666667;0,02;12;30;4;30;4;;;;;;;;;;;
15,8333;0;0,316666667;0,02;12;50;4;30;4;;;;;;;;;;;
15,9722;0;0,319444444;0,02;8;10;8;30;4;;;;;;;;;;;
15,9722;0;0,319444444;0,02;8;10;12;50;8;;;;;;;;;;;
15,9722;0;0,319444444;0,02;8;30;8;50;12;;;;;;;;;;;
15,9722;0;0,319444444;0,03;8;30;12;50;12;;;;;;;;;;;
15,9722;0;0,319444444;0,03;8;50;12;50;12;;;;;;;;;;;
16,25;0;0,325;0,03;12;50;4;50;4;;;;;;;;;;;
16,3889;0;0,327777778;0,02;8;10;12;30;8;;;;;;;;;;;
16,3889;0;0,327777778;0,03;12;10;8;30;4;;;;;;;;;;;
16,3889;0;0,327777778;0,03;12;30;4;50;4;;;;;;;;;;;
16,5278;0;0,330555556;0,02;8;30;4;50;4;;;;;;;;;;;
16,5278;0;0,330555556;0,02;8;50;4;50;4;;;;;;;;;;;
16,5278;0;0,330555556;0,03;12;50;4;50;8;;;;;;;;;;;
16,5278;0;0,330555556;0,04;8;30;12;50;4;;;;;;;;;;;
16,5278;0;0,330555556;0,04;8;30;12;50;8;;;;;;;;;;;
16,5278;0;0,330555556;0,04;8;50;12;50;8;;;;;;;;;;;
16,6667;0;0,333333333;0,04;12;10;12;50;8;;;;;;;;;;;
16,6667;0;0,333333333;0,04;8;30;8;50;8;;;;;;;;;;;
16,6667;0;0,333333333;0,04;8;50;8;50;8;;;;;;;;;;;
16,6667;0;0,333333333;0,04;8;50;12;30;8;;;;;;;;;;;
16,6667;0;0,333333333;0,04;8;50;12;50;4;;;;;;;;;;;
16,8056;0;0,336111111;0,03;12;10;8;30;8;;;;;;;;;;;
16,8056;0;0,336111111;0,04;12;10;12;50;4;;;;;;;;;;;
16,8056;0;0,336111111;0,04;8;30;12;30;8;;;;;;;;;;;
16,9444;0;0,338888889;0,04;8;30;8;50;4;;;;;;;;;;;
16,9444;0;0,338888889;0,04;8;50;8;50;4;;;;;;;;;;;
16,9444;0;0,338888889;0,04;8;50;12;30;4;;;;;;;;;;;
17,0833;0;0,341666667;0,02;12;10;12;50;12;;;;;;;;;;;
17,0833;0;0,341666667;0,03;12;30;4;50;8;;;;;;;;;;;
17,0833;0;0,341666667;0,03;8;50;8;50;12;;;;;;;;;;;
17,0833;0;0,341666667;0,04;8;30;12;30;4;;;;;;;;;;;
17,2222;0;0,344444444;0,03;8;30;12;30;12;;;;;;;;;;;
17,2222;0;0,344444444;0,03;8;50;12;30;12;;;;;;;;;;;
17,3611;0;0,347222222;0,04;12;10;12;30;4;;;;;;;;;;;
17,5;0;0,35;0,02;8;10;8;50;8;;;;;;;;;;;
17,5;0;0,35;0,02;12;10;12;30;12;;;;;;;;;;;
17,5;0;0,35;0,03;8;30;8;50;12;;;;;;;;;;;
17,5;0;0,35;0,04;12;10;12;30;8;;;;;;;;;;;
17,7778;0;0,355555556;0,04;8;30;12;50;12;;;;;;;;;;;
17,7778;0;0,355555556;0,04;8;50;12;50;12;;;;;;;;;;;
17,9167;0;0,358333333;0,02;12;30;4;30;8;;;;;;;;;;;
17,9167;0;0,358333333;0,02;8;50;8;30;12;;;;;;;;;;;
17,9167;0;0,358333333;0,02;12;50;4;30;8;;;;;;;;;;;
17,9167;0;0,358333333;0,03;12;10;12;50;12;;;;;;;;;;;
18,0556;0;0,361111111;0,02;8;30;8;30;12;;;;;;;;;;;
18,3333;0;0,366666667;0,02;8;50;4;50;8;;;;;;;;;;;
18,4722;0;0,369444444;0,02;12;10;8;50;12;;;;;;;;;;;
18,4722;0;0,369444444;0,04;12;10;8;50;8;;;;;;;;;;;
18,6111;0;0,372222222;0,04;12;10;8;50;4;;;;;;;;;;;
18,75;0;0,375;0,02;8;10;8;30;8;;;;;;;;;;;
18,75;0;0,375;0,02;8;30;4;50;8;;;;;;;;;;;
18,75;0;0,375;0,03;12;10;12;30;12;;;;;;;;;;;
18,8889;0;0,377777778;0,04;8;30;12;30;12;;;;;;;;;;;
18,8889;0;0,377777778;0,04;8;50;8;30;8;;;;;;;;;;;
18,8889;0;0,377777778;0,04;8;50;12;30;12;;;;;;;;;;;
19,0278;0;0,380555556;0,02;12;10;4;50;4;;;;;;;;;;;
19,0278;0;0,380555556;0,04;8;30;8;30;8;;;;;;;;;;;
19,0278;0;0,380555556;0,04;8;50;8;30;4;;;;;;;;;;;
19,0278;0;0,380555556;0,04;8;50;8;50;12;;;;;;;;;;;
19,1667;0;0,383333333;0,02;12;50;4;50;12;;;;;;;;;;;
19,1667;0;0,383333333;0,04;8;30;8;30;4;;;;;;;;;;;
19,3056;0;0,386111111;0,04;8;30;8;50;12;;;;;;;;;;;
19,4444;0;0,388888889;0,03;8;30;8;30;12;;;;;;;;;;;
19,4444;0;0,388888889;0,03;8;50;8;30;12;;;;;;;;;;;
19,4444;0;0,388888889;0,04;12;10;12;50;12;;;;;;;;;;;
19,5833;0;0,391666667;0,02;12;30;4;50;12;;;;;;;;;;;
19,5833;0;0,391666667;0,04;12;50;4;50;4;;;;;;;;;;;
19,5833;0;0,391666667;0,04;12;50;4;50;8;;;;;;;;;;;
19,8611;0;0,397222222;0,02;8;30;4;30;4;;;;;;;;;;;
19,8611;0;0,397222222;0,02;8;50;4;30;4;;;;;;;;;;;
19,8611;0;0,397222222;0,03;12;10;8;50;12;;;;;;;;;;;
20;0;0,4;0,04;12;30;4;50;4;;;;;;;;;;;
20;0;0,4;0,04;12;30;4;50;8;;;;;;;;;;;
20,2778;0;0,405555556;0,02;12;10;8;30;12;;;;;;;;;;;
20,2778;0;0,405555556;0,04;12;10;8;30;4;;;;;;;;;;;
20,2778;0;0,405555556;0,04;12;10;8;30;8;;;;;;;;;;;
20,4167;0;0,408333333;0,03;12;30;4;30;4;;;;;;;;;;;
20,4167;0;0,408333333;0,03;12;50;4;30;4;;;;;;;;;;;
20,5556;0;0,411111111;0,04;12;10;12;30;12;;;;;;;;;;;
20,6944;0;0,413888889;0,03;12;30;4;30;8;;;;;;;;;;;
20,6944;0;0,413888889;0,03;12;50;4;30;8;;;;;;;;;;;
20,6944;0;0,413888889;0,03;12;50;4;50;12;;;;;;;;;;;
20,8333;0;0,416666667;0,04;12;10;8;50;12;;;;;;;;;;;
20,9722;0;0,419444444;0,02;12;10;4;30;4;;;;;;;;;;;
20,9722;0;0,419444444;0,03;12;30;4;50;12;;;;;;;;;;;
21,1111;0;0,422222222;0,02;12;10;4;50;8;;;;;;;;;;;
21,1111;0;0,422222222;0,03;8;10;12;50;4;;;;;;;;;;;
21,1111;0;0,422222222;0,03;8;10;12;50;8;;;;;;;;;;;
21,3889;0;0,427777778;0,03;8;10;8;50;4;;;;;;;;;;;
21,3889;0;0,427777778;0,04;8;50;8;30;12;;;;;;;;;;;
21,5278;0;0,430555556;0,03;8;50;4;50;4;;;;;;;;;;;
21,5278;0;0,430555556;0,04;8;30;8;30;12;;;;;;;;;;;
