EER;FMR;FNMR;THR;GDTHRGAngTHR;;;;;;;;;;
19,5833;0,069444444;0,322222222;20;8;30;;;;;;;;;
20,6944;0,080555556;0,333333333;30;8;50;;;;;;;;;
21,1111;0,094444444;0,327777778;30;6;60;;;;;;;;;
19,7222;0,097222222;0,297222222;20;10;30;;;;;;;;;
21,1111;0,116666667;0,305555556;30;10;50;;;;;;;;;
20,9722;0,119444444;0,3;10;6;20;;;;;;;;;
21,9444;0,138888889;0,3;20;4;50;;;;;;;;;
21,25;0,141666667;0,283333333;20;6;40;;;;;;;;;
21,8056;0,152777778;0,283333333;30;8;60;;;;;;;;;
21,9444;0,169444444;0,269444444;10;8;20;;;;;;;;;
21,9444;0,188888889;0,25;30;10;60;;;;;;;;;
21,9444;0,2;0,238888889;20;4;60;;;;;;;;;
23,0556;0,213888889;0,247222222;20;8;40;;;;;;;;;
22,9167;0,219444444;0,238888889;10;4;30;;;;;;;;;
24,1667;0,230555556;0,252777778;10;10;20;;;;;;;;;
24,1667;0,252777778;0,230555556;20;6;50;;;;;;;;;
24,8611;0,266666667;0,230555556;20;10;40;;;;;;;;;
25,6944;0,333333333;0,180555556;10;6;30;;;;;;;;;
27,5;0,347222222;0,202777778;20;8;50;;;;;;;;;
27,2222;0,377777778;0,166666667;10;4;40;;;;;;;;;
27,6389;0,377777778;0,175;20;6;60;;;;;;;;;
28,6111;0,405555556;0,166666667;20;10;50;;;;;;;;;
28,1944;0,422222222;0,141666667;10;8;30;;;;;;;;;
30,5556;0,475;0,136111111;20;8;60;;;;;;;;;
31,3889;0,502777778;0,125;10;10;30;;;;;;;;;
33,1944;0,541666667;0,122222222;10;6;40;;;;;;;;;
33,4722;0,552777778;0,116666667;20;10;60;;;;;;;;;
34,0278;0,563888889;0,116666667;10;4;50;;;;;;;;;
37,3611;0,647222222;0,1;10;8;40;;;;;;;;;
38,3333;0,686111111;0,080555556;10;10;40;;;;;;;;;
38,6111;0,697222222;0,075;10;4;60;;;;;;;;;
39,5833;0,713888889;0,077777778;10;6;50;;;;;;;;;
42,2222;0,780555556;0,063888889;10;8;50;;;;;;;;;
43,8889;0,816666667;0,061111111;10;6;60;;;;;;;;;
43,75;0,827777778;0,047222222;10;10;50;;;;;;;;;
44,5833;0,844444444;0,047222222;10;8;60;;;;;;;;;
46,6667;0,9;0,033333333;10;10;60;;;;;;;;;
Matches;total;103680;;;;;;;;;;;;
487;;;;;;;;;;;;;;
